"cond","SID","survey_name","item","value"
"self","s149","comment","1_comment","Societies' activity also one of the reason of climate change."
"other","s150","comment","1_comment","It's about changes in lifestyles to decrease the likelihood of having a heart attack."
"self","s151","comment","1_comment","California is a beautiful state. It's very sad to read about the devastating fires taking place. It's a horrible experience for the people of California to lose all they worked so hard for. 
We must take efforts to stop the fires"
"other","s153","comment","1_comment","Drilling in Arctic Wildlife Refuge closer to approval by senate"
"self","s155","comment","1_comment","This article matters to me because I am also passionate about climate change."
"other","s156","comment","1_comment","Because when fires spread people have to leave their homes to get out of harm's way. Sometimes, that is just a major inconvenience but sometimes they come back to find their home and all of their belongings are gone. If invasive grasses worsen fires then we need to know this and do something about it."
"self","s157","comment","1_comment","The article about say some matters."
"other","s159","comment","1_comment","PROTECT PLANTS AND SAVE HEALTH"
"self","s160","comment","1_comment","this article is about questioning whether the cities are recycling or not"
"self","s161","comment","1_comment","ARTICLE MATTERS TO ME PERSONALLY BECAUSE OF THE POSSIBLE WEIGHT LOSS STRATEGY THAT TO SKIP BREAKFAST BEFORE EXERCISE"
"other","s163","comment","1_comment","Good advice from Tom Colicchio to buy the produce you need when you need it and not earlier."
"other","s166","comment","1_comment","This article matters to people I know because Climate Change is real and affects people in their daily lives. It will be interesting to read about how automakers plan to change to keep up with demand for ""cleaner and greener"" autos."
"self","s167","comment","1_comment","The article is about cholesterol medication increasing the risk of skin infections."
"self","s168","comment","1_comment","This is an article about genetically modified organisms."
"other","s170","comment","1_comment","this article will motivate some of my athletic frieds"
"self","s172","comment","1_comment","I really feel like we waste too much and consuming less helps the environment."
"other","s177","comment","1_comment","People I know care about their health."
"self","s178","comment","1_comment","I've been to some of these places and it would be a shame to lose them.  They are global treasures."
"self","s184","comment","1_comment","Because health is important as I age."
"other","s185","comment","1_comment","Disposable cleaning products"
"self","s186","comment","1_comment","It is very important news to me.My uncle having an obesity.He tried very hard to loss his weight."
"self","s187","comment","1_comment","This article is about a person who found ways to stretch money after moving from a wealthy lifestyle in Korea to living in poverty in California."
"other","s189","comment","1_comment","It would be nice if young people would use their energy to vote."
"other","s191","comment","1_comment","It's about human's used plastic things"
"self","s192","comment","1_comment","This article is about reducing your use of disposable plastic items."
"self","s193","comment","1_comment","This one is related to know the persons who suffer from cancer and give a treatment."
"self","s194","comment","1_comment","It is interesting to see how men and women differe"
"self","s195","comment","1_comment","Cleanliness is healthy and helpful."
"self","s196","comment","1_comment","The article matters to me because it discusses the important issue of Climate Change that affects everyone"
"other","s197","comment","1_comment","Exploration in Artic wildlife may harm the wildlife i animals i guess , so people i know will oppose it"
"self","s198","comment","1_comment","This is about the program called BOKS program which is making children feel happier and more energetic before the class."
"self","s200","comment","1_comment","The article is about weight reduction program with in short period of time."
"other","s201","comment","1_comment","We worry a lot about the future when it comes to climate change but this means we could lose our past even sooner!"
"self","s202","comment","1_comment","Plastic bags is unhealthy so we go with papers in the grocery shop"
"other","s204","comment","1_comment","I know a lot of old people who would probably be interested in cycling."
"other","s205","comment","1_comment","Everyone has a grandmother and can relate to their grandparents' ways."
"other","s206","comment","1_comment","It is very must for childerns"
"self","s207","comment","1_comment","I am at risk for several of these health issues and I choose to control my sweet tooth because of it."
"self","s208","comment","1_comment","flood insurance most important for everyone"
"other","s210","comment","1_comment","What automakers know about climate science."
"self","s211","comment","1_comment","This article matters to me because it's a clear indication that our elected leaders are not taking climate change seriously, nor are they taking into consideration what the general public wants. Most people do not want oil or gas exploration in the Arctic National Wildlife Refuge."
"self","s212","comment","1_comment","Pictures from youth climate"
"other","s214","comment","1_comment","dont worry about consuming this after exercising"
"other","s215","comment","1_comment","As shown elsewhere, this confirms the shifting temperature baseline!"
"other","s216","comment","1_comment","It is about global warming."
"self","s217","comment","1_comment","It appears that obesity might not be that big of a factor in cardiovascular disease after all."
"other","s218","comment","1_comment","It was usage of plastics and reusability"
"self","s219","comment","1_comment","It suggests skipping breakfast before exercise."
"other","s222","comment","1_comment","A New Year’s resolution so common, it’s almost a cliché: “This year, I’ll lose weight.” The new year is already running and we start to picture ourselves several pounds lighter and flaunting a svelte figure in a bikini, the kind of figure that will have us rummaging in our closets for those jeans we haven’t worn in years and sliding onto the dance floor eager to show off our moves and confidence."
"self","s223","comment","1_comment","This article matters to me personally because I want to stay healthy and vibrant as I age."
"self","s224","comment","1_comment","A program helps children with before school activities."
"other","s227","comment","1_comment","A place to live is the basic need for every human being"
"self","s230","comment","1_comment","The article is about sugary drinks and how they have no health benefits. Sugary drinks are bad for me and can complicate my health problems with sugar."
"self","s234","comment","1_comment","This gives me hope that the biggest polluters might change their ways."
"other","s235","comment","1_comment","Is to improve all forms of assistance subject to action  Their machines beautifully showcase the processes they need considering the development of the staff as well"
"other","s236","comment","1_comment","This is important! people in california are a risk and because of the increasing of areas affected by drought, the rest of us might be at risk too!"
"self","s237","comment","1_comment","VITAMIN D WAS IMPORTANT DURING PREGNANCY"
"self","s242","comment","1_comment","This is important because it helps bring awareness to this most pressing issue."
"self","s243","comment","1_comment","Invasive grass species are increasing the risk fo wildfires"
"other","s246","comment","1_comment","This is about sleep apnea."
"self","s248","comment","1_comment","This article instigate me to think about children's health. Because so much of children in US grows without proper immunity level. Exercising will helps to develop children's health and also it reduces stress level."
"other","s249","comment","1_comment","Solar is something  we need to be using more of"
"self","s250","comment","1_comment","The article is about recycling wrong things. We cannot and should not recycle every things. For example some kind of plastics cannot be recycled."
"other","s251","comment","1_comment","This might matter for people I know who are overweight or care very much about their current weight."
"other","s255","comment","1_comment","It matters to people I know because I live in Florida, which is projected to be underwater at some point in the not so distant future. What that means is, since I live in Florida, everyone else I know lives in Florida."
"other","s257","comment","1_comment","glacier collapse   is dangerous ..."
"self","s258","comment","1_comment","Kincade fire in California"
"other","s259","comment","1_comment","This article gives one nice message so I was explain this article matters to the people"
"self","s260","comment","1_comment","Recycling is an important part of environmental control"
"other","s261","comment","1_comment","Climate change affects us all, and thus, this affects all of us."
"self","s262","comment","1_comment","This is why i stay away from most processed meats lately."
"other","s265","comment","1_comment","This article might sound an alarm to those who drink soda continually.  Compelling reasons to cut the habit."
"self","s268","comment","1_comment","It tells me about how other eastern countries would not agree because of their heavy use of coal"
"other","s270","comment","1_comment","It would made a better world for us in future"
"self","s273","comment","1_comment","exercise without dieting might not help you lose weight"
"other","s274","comment","1_comment","It was good and very interesting"
"other","s275","comment","1_comment","Being overweight could cause cancer."
"self","s276","comment","1_comment","It was about the climate changes in now and they give tips for how to reduce food waste."
"self","s277","comment","1_comment","cycling helps to keep our bones healthy"
"self","s278","comment","1_comment","This is good to know! I am trying to manage my cholesterol levels."
"other","s279","comment","1_comment","It have no health benefits so this article matters to people to know"
"self","s280","comment","1_comment","It matters to me because it shows no matter what you eat you can still have health problems."
"self","s281","comment","1_comment","This book will help parents learn how to make sure their kids eat healthy."
"other","s283","comment","1_comment","because people want to know as much as possible about cancer"
"self","s287","comment","1_comment","It's about how different people walk and the pace that they walk in."
"self","s288","comment","1_comment","This is ridiculous if true. How is fuel in-efficiency good for the American public?"
"other","s292","comment","1_comment","A wealthy Korean grandmother and her grandchild save money with McDonald's fast food upon relocating to California."
"other","s294","comment","1_comment","This Article is about people not having discipline in their eating habit when they do exercise."
"other","s295","comment","1_comment","It's about using AI to prevent breast cancer."
"self","s297","comment","1_comment","This would be so hard for me, I love hummus and black beans!"
"other","s299","comment","1_comment","This article is about floods  and climate changes."
"other","s300","comment","1_comment","it will help them reduce the consumption of red meat as this may affect their health"
"self","s301","comment","1_comment","It is important to protect people and property from the threat of wildfires."
"other","s303","comment","1_comment","It's about climate change. So it's important to people"
"self","s305","comment","1_comment","Hearing loss leads to more accidents."
"other","s307","comment","1_comment","because it discourages eating unhealthy food"
"self","s308","comment","1_comment","I need to exercise more to reduce my weight."
"self","s311","comment","1_comment","This article is about a big problem with recycling. A lot of our recycling is ending up in landfills now that China is no longer taking as much of it."
"self","s313","comment","1_comment","Possible benefits of a before-school exercise program."
"self","s314","comment","1_comment","I believe that climate change is an issue that everyone should work towards solving. Joining a strike demonstrates that many people still care about climate change and demand more than our leaders' inaction on the subject."
"other","s316","comment","1_comment","It is about a change in economic status and the use of McDonalds to make their money go further."
"self","s318","comment","1_comment","Informative article about contributing factors to getting colds or flu."
"self","s319","comment","1_comment","Physical exercise is very important to human health"
"self","s320","comment","1_comment","It is about the nutrients in tomatoes and spinach"
"self","s321","comment","1_comment","this has lot of claims"
"other","s322","comment","1_comment","It is beneficial to add intensity to your workouts."
"self","s324","comment","1_comment","Talks about a gut bacteria that could make people run faster."
"other","s326","comment","1_comment","This article is about some fitness oriented. Now a days people are very craze in body building I am not against it but the more supplements may cause side effects so this article matters."
"other","s327","comment","1_comment","traditional healthy tip usually misleading person's concept"
"other","s328","comment","1_comment","This article matters to people I know because I know people that live on both the east and west coast"
"other","s329","comment","1_comment","This article is important to people I know because it is addressing one of the issues of climate change.  This is not only important to the people I know but everyone on the planet.  It is important because if we do not address it our species could become extinct."
"self","s330","comment","1_comment","My best friend died from cancer so this is very personal for me."
"self","s331","comment","1_comment","The food was yummy and tasty!"
"other","s335","comment","1_comment","so they know they importance of family and ways to showcase love"
"self","s337","comment","1_comment","The article explains the health benefits of eating plant-based foods high in flavonoids. It may help prevent death due to cancer and cardiovascular disease."
"other","s338","comment","1_comment","Obesity is a health risk and the 'obesity paradox' fails to be substantiated."
"other","s344","comment","1_comment","I think this will be good mothers. It will help improve the strength of your child's teeth when he/she is growing"
"self","s345","comment","1_comment","This is why you should start using a green energy provider."
"other","s348","comment","1_comment","There is a lot of pressure on the bone"
"other","s349","comment","1_comment","being environmentally responsible by reducing plastic usage"
"other","s352","comment","1_comment","This article help will help people to be fit and it will help to improve someone's health"
"other","s353","comment","1_comment","This article is about eating food."
"self","s358","comment","1_comment","It was indirectly influenced in my life"
"self","s360","comment","1_comment","We need to appreciate the resolution because of our next generation will get a better and safe life. We have do something for our future life too"
"other","s361","comment","1_comment","This article, from Chef Tom Colicchio, recommends only purchasing produce by the day, so you won't waste what you don't use."
"other","s363","comment","1_comment","It matters to people who cares about environment. 
Mix climate issues with a unimportant drone being captured by a reporter."
"other","s364","comment","1_comment","The Vaquita mammal is rare and almost extinct in nature!"
"self","s368","comment","1_comment","It's about avoiding breakfast before exercise as a weight loss strategy"
"self","s371","comment","1_comment","Global warming is causing more and more severe types of storms."
"other","s372","comment","1_comment","More fluids like water and good juice everyday is good for our bodies and prevents other illness as we get older."
"self","s373","comment","1_comment","Keeping healthy is the only way forward."
"self","s375","comment","1_comment","There are some members of my family and social circles that are obese and have Chronic Illnesses due to that. I do not. I never judge them or get after them but try to ""lead and instruct"" by example. This would be a good option or at least a good and novel ""conversation starter"" about obesity."
"other","s380","comment","1_comment","Policy makers were able to gain authorization to use a coal mine."
"other","s386","comment","1_comment","it is about how perfume can pollute the air as much as cars do"
"self","s387","comment","1_comment","less sugary drink consumption leads to better health"
"other","s390","comment","1_comment","the us could save the $120 billion a year for the sedentary children"
"self","s394","comment","1_comment","best of wilderness for environmental protection"
"other","s395","comment","1_comment","because to tell the real news or tell the truth and also for to stop the fake news"
"other","s396","comment","1_comment","Parents make kids fat."
"other","s399","comment","1_comment","This will help us be able to afford hybrids and electric cars."
"other","s400","comment","1_comment","It can help my child for development."
"self","s401","comment","1_comment","Yes the dog felt like one of the member on the family, dogs has a good relationship with humans and its sleeping on the same bed with human is reasonably well as a dog person it felts very personal to me."
"self","s402","comment","1_comment","It's about how our government is reacting to reduce the climate change"
"other","s403","comment","1_comment","oil and gas companies getting sued by states"
"other","s406","comment","1_comment","People I know care about being healthy and happy and exercise is a big part of that."
"self","s411","comment","1_comment","i like very much of Olympic and very interest game  and $1 million prize was saved"
"self","s412","comment","1_comment","flu and cold challenge for immunity .have high power immunity not affect the cold and flu"
"self","s414","comment","1_comment","This article is about a potential algal along the coast in Friday that's toxic and harmful to wildlife."
"self","s415","comment","1_comment","Good inputs from wise people on health"
"self","s418","comment","1_comment","It is about a mammal that is going extinct."
"self","s419","comment","1_comment","poor hearing being associated with more injuries"
"other","s420","comment","1_comment","Every child will consume only mother's milk on during this six months."
"self","s421","comment","1_comment","I have experienced a major Earth quake before and I can understand the fear of natural disasters."
"self","s422","comment","1_comment","This means that I'll have to find some other way to ease my sore muscles."
"other","s423","comment","1_comment","Exercise is not enough to lose weight."
"self","s425","comment","1_comment","This article is about how exercise keeps a person's body younger."
"self","s432","comment","1_comment","This article is important to me because I can relate to it.  I sometimes eat more when I exercise and feel frustrated when I don't lose more weight."
"self","s434","comment","1_comment","climate change is one of the important cases in the world"
"other","s435","comment","1_comment","It is a heartwarming story and it is good for the people around me to know life should not be taking for grounded."
"other","s436","comment","1_comment","Have a influence of how the US deals the global warming."
"self","s437","comment","1_comment","because its just like a magazine to useful to me"
"self","s439","comment","1_comment","It matters, because I am alive and living on this planet. Unless more law suits are brought against big corporations that put profits instead of the environment, the destruction of our planet will continue."
"other","s442","comment","1_comment","I cook most of tomatoes because they taste better. tomatoes have nutrient and also in spinach. there is also the oxalic factor in cooking spinach or eating it raw."
"self","s444","comment","1_comment","This article matters to me because climate change has bad effects on human"
"self","s445","comment","1_comment","dance well is good for health"
"self","s446","comment","1_comment","I live in the Midwest and I don't have flood insurance."
"other","s448","comment","1_comment","It matters because people like me notice that having a dog in the room helps us sleep. It's validating to us to know that there is actual evidence that we aren't just imagining the correlation."
"self","s449","comment","1_comment","I am more aware of my health, so this article is important to me personally."
"self","s450","comment","1_comment","I worry about my own higher-protein diet."
"other","s453","comment","1_comment","daily using things so this article matters to people"
"other","s454","comment","1_comment","Skier wants to save snow and scientists win money."
"self","s456","comment","1_comment","Because i am one of the natural lover"
"self","s457","comment","1_comment","I am currently pregnant and this information could help my future child."
"other","s460","comment","1_comment","This is about a book that promotes healthy eating for children."
"other","s462","comment","1_comment","Some scientific findings on obesity."
"other","s463","comment","1_comment","this would encourage people to take care of their body regularly"
"other","s466","comment","1_comment","It matters to people I know because they are keeping people healthy and saving money."
"other","s467","comment","1_comment","Korea is improve by the American fast food."
"other","s470","comment","1_comment","About whether cooking tomato and spinach cause the nutrients to change."
"self","s471","comment","1_comment","I've often wondered if everything I put in the recycle bin gets recycled or if I'm just causing more work and more trash."
"other","s473","comment","1_comment","it's about a Swedish girl solitry act"
"self","s475","comment","1_comment","Climate change will effect not only us but for generations to come. We really need to clean things up"
"self","s478","comment","1_comment","This article is for parents to understand the benefits of the program which helps to consider sending the kids to attend the program."
"other","s479","comment","1_comment","basically telling how you can be recycling wrong"
"self","s481","comment","1_comment","Because I have considered taking these supplements but they might kill me."
"self","s482","comment","1_comment","This article matters to me because I care about the future of the planet and of the survival of the human race.  If coal is continued to be used as a fossil fuel, then this will worsen global warming, disrupt weather patterns and cause coastal cities to eventually flood.  I don't want everything that the human race has accomplished so far to be for naught.  Money should not obscure logic and common sense."
"self","s483","comment","1_comment","After years of being told to avoid high-impact activities like running, it looks like we've been letting our bones atrophy. I don't want to be frail and brittle when I get old!"
"other","s485","comment","1_comment","Foods to avoid to prevent kidney stones"
"self","s487","comment","1_comment","Article is about environmental and nuclear power"
"other","s488","comment","1_comment","its about being vegan and have food restrictions because of gout"
"self","s490","comment","1_comment","The effect of antioxidants on after exercise soreness."
"other","s492","comment","1_comment","It's important to encourage children to exercise because habits learned in childhood are carried into adulthood.  It often is hard to make big changes later in life.  One of my best friends was never encouraged to exercise and has struggled since adulthood with obesity and sticking to a workout routine."
"self","s493","comment","1_comment","Exercise can keep you healthy and young"
"other","s494","comment","1_comment","The global warming is changing the climate, for some country's are very effective to the incident"
"other","s495","comment","1_comment","This article matters to some people i know who are trying to achieve a healthier state of being.
By understanding its about quality and not quantity could make it seem more do-able"
"self","s496","comment","1_comment","not so good about this article"
"other","s497","comment","1_comment","This article is about a proposed incentive to buy electric or hybrid cars."
"other","s498","comment","1_comment","A lot of my friends have different places in ancient Rome and Greece on their ""bucket list"" of places to travel before they die.  Because they've assumed these places will aways be there, they haven't prioritized travel yet -- but I'm sure they would be quite sad if they never get to see the things they read about Western Civ."
"self","s499","comment","1_comment","so much of oil content in that deli meats so I think it is bad for health"
"other","s502","comment","1_comment","This article is about the children's menu and healthy eating suggestions for children."
"self","s504","comment","1_comment","This article matters to me personally because I believe climate change is a very serious issues that the world needs to take more seriously. It's going to impact our world in ways that the future, our children, will have to deal with."
"other","s505","comment","1_comment","This article discusses how cooking will affect nutrients levels in tomatoes and spinach."
"other","s506","comment","1_comment","This talks about why people who don't know much about GMOs are against them."
"self","s507","comment","1_comment","using good bacteria to aid in weight loss."
"self","s512","comment","1_comment","How to move away from using platics"
"other","s513","comment","1_comment","I have friends and family members who struggle with their weight and this may be helpful information for them"
"self","s514","comment","1_comment","This is impportant as we all have to clean our homes!"
"self","s515","comment","1_comment","Arctic National Wildlife Refuge is an helpful development to the oil and gas exploration."
"other","s516","comment","1_comment","This article about weather condition prediction"
"other","s517","comment","1_comment","The Article is about wind turbine"
"self","s520","comment","1_comment","Article is about an increase in the risk of staph skin infection in people who took statins."
"self","s522","comment","1_comment","My friend Dave has had trouble with Kidney stones in the past. I would pass this on to him."
"self","s526","comment","1_comment","This is so true! I sleep with my dog too."
"self","s527","comment","1_comment","Pharoahs tried to increase grain production but failed"
"other","s529","comment","1_comment","This article says that we eat more when we exercise."
"self","s530","comment","1_comment","meat is not a safe food for humans"
"other","s531","comment","1_comment","Climate change is at it again!"
"self","s532","comment","1_comment","I think it is important for us to take care of the environment and I have children and grand chidren that i am concerned about with climate change."
"other","s533","comment","1_comment","Some who are recycling might be making things harder for recycling companies if they do not know how to recycle certain items correctly."
"self","s535","comment","1_comment","This article is about the potentiality fatal nature of sleep apnea and its tie to obesity."
"self","s537","comment","1_comment","This article is hinting towards personalities or how you do things are affected by what you are around."
"self","s538","comment","1_comment","The importance of heritage sites is hard to overestimate. Climate change threatens many sites around the world, and so much of our civilization began around the Mediterranean. To lose those would be an irreplaceable loss."
"other","s540","comment","1_comment","This article has to do with how exercise helps not only children, but our nations economy."
"other","s541","comment","1_comment","It talks about whether or not cooking helps bring out the nutrients in tomatoes and spinach."
"self","s543","comment","1_comment","The benefits for kids and pregnant women to eat more fish."
"self","s544","comment","1_comment","It is about Sleep apnea"
"other","s545","comment","1_comment","If it isn't offered, less people will drink it and there will be a healthier society."
"other","s546","comment","1_comment","A workout to help you get healthy"
"other","s547","comment","1_comment","This article is about algae blooms killing wildlife."
"other","s548","comment","1_comment","People must knows the ancient places."
"other","s551","comment","1_comment","we need to prevent illness with a good shape and healthy eat"
"other","s552","comment","1_comment","This is about people still building homes in areas which are known to flood"
"other","s553","comment","1_comment","It’s not all about activity!  There’s other things at play that could help us!"
"other","s554","comment","1_comment","Because it discuss the information regarding babies.So it is necessary to know by the people around us"
"self","s555","comment","1_comment","we should know about  ancient egyptian leaders"
"other","s558","comment","1_comment","How to get your kids to eat"
"other","s559","comment","1_comment","it is about solar power"
"self","s561","comment","1_comment","Deli meats are heavily processed and shoud not be eaten."
"other","s563","comment","1_comment","If people are not buying flood insurance that means it will cost all of us more in taxes to help pay when disaster strikes flood regions."
"other","s567","comment","1_comment","I know a lot of people that live in Florida that could be affected by rising sea levels."
